,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
1,MadamSure Mpho Thaolang,FNB BotswanaPilane branch..service ya lona e mborile gore ..ke tsene ka past 10 ebe le mpaa mo setilong sa lona se seng comfortable ebe ere ka 1600hrs ebe le mpolella gore motho yo neng a nthusa o mo sick offng...after a long time deposit yame e Pender...motho ha a lwala ra mo emela..tota ke ledisiwa ke gr ka oura e mokwata wame o hisa gore mme ke sa bona matsana aka..service ya lona was very poor tota,16,8,Francistown branch ke maaka hela 72hrs still awaiting for a service from gabs ,"Yesterday was a disaster, ke heletse ke ya go deposita kwa ABSA,  FNB ya CBD is the best in customer service"
2,Bongani Collin Junior Ngwenya,Botswana Telecommunications Corporation - BTCreally don’t understand how it takes 18 hours to download a 228MB file. Even with the arrival of Starlink you still choose to be terrible,38,10,"I wouldn't advise you to download using di router tsa those networks ( mascom, BTC, orange). ",
3,Leshman Kgangkenna,Multichoice Botswana Dstv..... Ke subscribe ka nyebenyebe hela kana ka P425 but I don't have channel ya Btv1...... Can you please do the right thing and avail all channels my bouquet have......and all your numbers that are provided to call for assistance are not going through,14,10,The answer i got from them ijhoooh,Heela nna kare a ke nna hela e seong
4,Kabelo Em Mbakile,Mpuelang le mascom they refusing to credit me with what they promised,1,3,,
5,Andrew Crab Sabokone,Mascom ako le baakanya internet ya lona every day I keep restarting the router ao batho I can't watch without any videos am Fed up waitse,10,21,I failed an online exam because  of mascom. Leotwana le dikologa fela nako yone e tsamaa.  Will never  forgive,I give up ka internet ya Mascom 
6,Bertram Renders,"Good day, just a Question.If my budget on a purchase amounts to 35 pula...Am I forced to change my budget to 50 pula because the store has a policy of no swiping below 50 pula.",18,13,Cash is king,"shops pay a service fee for swiping, so these small amounts for small items profit margins are low, add swiping fee kills their bottom line."
7,Norman Kepadisa,I quick recharged be mobile 30 twice at choppies hyper mall next to BTV . I didn’t get my airtime they say in their system I airtime left .,6,,,
8,Gao FT Sesh,"Bathong how do we get assistang fromOrangeBotswana??? Their numbers are not being answeredmy router had a problem just 6 days after subscription, now am having difficulty getting extension for the 24 days I didn’t use the sub, where can i get help as quick as possible? Orange Francistown is not as helpful",1,3,Ga ba kake ba go thusa bao nna ba mpaletse,
9,Calmly Doobsie Teisi,"Dear Botswana Telecommunications ke kopa airtime yame,sale ke reka mabane around 6pm,called your contact center several times ke ntse ke tewa gote e tla tsena please",5,18,Calmlos... Bare tima phone o bo o itshuba ...,
10,Richard Harriman,,3,265,The service is the most important aspect but people are being taught manners while the processes involved in the service remain the same. Network e down through out.  Its terrible to be the one sending angry customers back with a smile and a kindness b… See more,Most of ths attendees go thr for food nd forget the main reason thy are thr
11,Bakae Carlos Tnt Seloiso,"The way FNB steals from us as customers is so uncalled for, i mean ke na le more than 3 months ba ncharger close to 200 pula every month o ke sa itseng gore ke wa eng, kamoso i want to visit them, ke ela go tswala account hela eseng sepe gape, i have tried discussing jaanong ekare go padile",28,43,Nna sala kere tswang koo letle Stanbic Bank Botswana FNB Botswana ke scam nna sale ke dule koo,Sale keya Stanbic ke robala borokokana fnb ne ke kgona go tlogela 200 ha ker kea swipa abo e declina
12,Bono Kegone Mmusi,"My faith in humanity was beautifully restored maabane by two wonderful women and a gentleman I met at Trans Cash and Carry Tlokweng .so I didn’t pick the other lady’s name, the cashier, I had a pretty rough day maabane , headache from hell amongst many other things, and I still had to be a mommy and get supplies for the girls.When I got to trans , I felt very very light, I was literally using the trolly for support, Lenna nne ke sa itse gore ke ikutlwa jang, waitse re…See more",805,126,Oh the Lesedi is Lesedi TsholofeloThat one is such an angelShe has a pure heart  … See more,Wow
13,Shu Wai Chung,"Normally, I wouldn't have a single  solitary thing to say about this institution, because of the HORRIBLE service that they've rendered to me since opening my account with them. Although it's not one that I use frequently, it's still attached to some ""part-time"" business usage, like online shopping. I won't go into details, but suffice it to say that I was PLEASANTLY SURPRISED, even IMPRESSED by a young man that I spoke with at the banking technical support. Not only was he p…See more",10,,,
15,Hardrock Da ReDeemed,"25th of August I transferred money from MyZaka account to my Stanchart account. Ke lemoga ka di 26 gore Madi ga a yo mo account ya Stanchart. I contacted baMascomand they said ba tla letsa. I kept on calling ba re my complaint e mo line ba tla nthusa only for them to call me on the 30 ba re madi a supa a dule from their account to my Stanchart account I shud check the balance, which I did and madi a ntse a seyo. I called them again ka bo ka leletsa le Stanchart to confirm. …See more",42,27,"Orange money and myzaka helps where they can but they are not actual banks, that's why their clients are always crying and complaining. Nna I forbid them. Money always disappear or get lost on their watch. ","Motho wetsho ke mathata a me a sale a tsamaya ka April ke dira sub ya dstv. Ko dstv e suit gore madi fa a goroga, orange bare e supa a ile.fa ke letsa ke neelwa new cash number  until nako kgolo ke e.mme ke tlo ba latela 1 dy"
